Clapeyron Database File
Shomate Ideal Like Parameters
species,a,b,c,d,e,
water~|~water08,33444.6210938e-3,-5.79920578003e-3,0.025168100372e-3,-1.43102997754e-08,2.76249001452e-12,
carbon dioxide,19800e-3,73.4400024414e-3,-0.0560199990869e-3,1.71499996213e-08, 0.0,
methane,37981e-3,-74.6220016479e-3,0.30189999938e-3,0.000283269997453e-3, 9.07109978243e-11,
water,32.24,0.00192,1.06e-5,-3.6e-9, 0.0,
ammonia,-1.21,0.0762,-4.86e-5,1.05e-8, 0.0,
acetone~|~propanone,6.3,0.261,-0.000125,2.04e-8, 0.0,
methanol,21.2,0.0709,2.59e-5,-2.85e-8, 0.0,
methylamine~|~methanamine,11.5,0.143,-5.33e-5,4.75e-9, 0.0,
butane~|~n-butane,9.487,0.3313,-0.0001108,-2.822e-9, 0.0,
propane~|~n-propane,-4.224,0.3063,-0.0001586, 3.215e-8, 0.0,
pentane~|~n-pentane,-3.626, 0.4873,-0.000258, 5.305e-8, 0.0,
carbon monoxide, 29443.7207031e-3, -5.6729388237e-3, 0.0158794000745e-3, -6.43621388008e-09, 0,
hydrogen, 23052.640625e-3, 33.7491416931e-3, -0.0639906972647e-3, 5.10229983774e-08, -1.3769899887e-11,
